Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Andorra,AND,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..
Andorra,AND,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Andorra,AND,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,..,..,..,..
Andorra,AND,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..,..,..,..
Angola,AGO,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.133789,..,1.86,..,..
Angola,AGO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Angola,AGO,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,63.4,..,..,..,..
Angola,AGO,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.26101845787304,2.23919656477835,2.21637364776329,2.19934175001363,..
Antigua and Barbuda,ATG,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..
Antigua and Barbuda,ATG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.01,2.89,..,..,..
Antigua and Barbuda,ATG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,11.9,..,..,..,..
Antigua and Barbuda,ATG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,8.3605742274694,8.57523106910066,8.79982551980558,9.05496406433411,..
Argentina,ARG,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.856412,..,2.77,..,..
Argentina,ARG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.95,4.99,..,..,..
Argentina,ARG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,15.9,..,..,..,..
Argentina,ARG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,10.8599775767747,10.9897071133897,11.1177888760774,11.2431082719004,..
Armenia,ARM,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.216773,..,2.48,..,..
Armenia,ARM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Armenia,ARM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,2.8,..,..,..,..
Armenia,ARM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,10.9787227665683,11.0966448892298,11.2538176570131,11.4836677169087,..
Aruba,ABW,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..
Aruba,ABW,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Aruba,ABW,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,..,..,..,..
Aruba,ABW,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,12.6048897703868,13.0734772127631,13.5509471396854,14.0583554376658,..
Australia,AUS,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,3.816468,..,3.97,..,..
Australia,AUS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.84,..,..,..,..
Australia,AUS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,4.6,..,..,..,..
Australia,AUS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,15.1411186020755,15.4040208878559,15.6564752275591,15.9212017459054,..
Austria,AUT,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,4.07841,..,4.18,..,..
Austria,AUT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.42,7.37,7.27,..,..
Austria,AUT,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,2.6,..,..,..,..
Austria,AUT,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,18.9091469471555,18.9565733220815,19.0015664595899,19.0756062856682,..
Azerbaijan,AZE,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..
Azerbaijan,AZE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Azerbaijan,AZE,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,8.8,..,..,..,..
Azerbaijan,AZE,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.83552270670949,5.98968850174499,6.19518275071493,6.4463891203953,..
"Bahamas, The",BHS,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.721296,..,2.41,..,..
"Bahamas, The",BHS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,2.96,..,..,..
"Bahamas, The",BHS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,16.9,..,..,..,..
"Bahamas, The",BHS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.87508268727013,7.06054930518264,7.25760235662035,7.48327265444873,..
Bahrain,BHR,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,3.095094,..,2.72,..,..
Bahrain,BHR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.89,1.74,..,..,..
Bahrain,BHR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,6.9,..,..,..,..
Bahrain,BHR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.34248754376515,2.37230234606539,2.42633387832394,2.51880972865733,..
Bangladesh,BGD,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.48,..,2.39,..,..
Bangladesh,BGD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.79,..,..,..,..
Bangladesh,BGD,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,25.6,..,..,..,..
Bangladesh,BGD,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.13561350228916,5.14947500781286,5.15839063962068,5.18035134847486,..
Barbados,BRB,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..
Barbados,BRB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.89,5.97,..,..,..
Barbados,BRB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,13,..,..,..,..
Barbados,BRB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,15.041848031463,15.4109254031695,15.8026939621338,16.2309903318526,..
Belarus,BLR,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.099684,..,2.44,..,..
Belarus,BLR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Belarus,BLR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,2.5,..,..,..,..
Belarus,BLR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,14.4157470274919,14.5751252006432,14.8451481743098,15.2008413514816,..
Belgium,BEL,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,4.053557,..,3.98,..,..
Belgium,BEL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.76,5.66,5.62,5.58,..
Belgium,BEL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,7.9,..,..,..,..
Belgium,BEL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,18.37185871229,18.5840790882601,18.7887437383395,19.0065660669321,..
Belize,BLZ,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..
Belize,BLZ,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.22,1.04,..,..,..
Belize,BLZ,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,19.4,..,..,..,..
Belize,BLZ,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.51058631921824,4.61586772724733,4.73645877657144,4.86738926048986,..
Benin,BEN,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.391474,..,2.5,..,..
Benin,BEN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Benin,BEN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,54.1,..,..,..,..
Benin,BEN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.23552208996581,3.2439514718218,3.25360529746338,3.26488492520772,..
Bermuda,BMU,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..
Bermuda,BMU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Bermuda,BMU,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,..,..,..,..
Bermuda,BMU,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..,..,..,..
Bhutan,BTN,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,1.955844,..,1.91,..,..
Bhutan,BTN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Bhutan,BTN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,20.9,..,..,..,..
Bhutan,BTN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.84261335563072,5.9249184844205,6.00301171280561,6.09297437268377,..
Bolivia,BOL,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.109668,..,2.15,..,..
Bolivia,BOL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.27,1.29,..,..,..
Bolivia,BOL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,22.4,..,..,..,..
Bolivia,BOL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.90062395903339,7.04587882180194,7.19194739218447,7.33863164569056,..
Bosnia and Herzegovina,BIH,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.607002,..,2.42,..,..
Bosnia and Herzegovina,BIH,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,1.8,..,..,..,..
Bosnia and Herzegovina,BIH,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,15.07843742931,15.7497557082224,16.4703174710621,17.2011511663132,..
Botswana,BWA,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.95539,..,..,..,..
Botswana,BWA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Botswana,BWA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,46,..,..,..,..
Botswana,BWA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.95707817903105,4.08683585176048,4.22387434629301,4.36589534127101,..
Brazil,BRA,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,3.110258,..,2.93,..,..
Brazil,BRA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.11,2.09,..,..,..
Brazil,BRA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,13.9,..,..,..,..
Brazil,BRA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,8.30168730572689,8.60549199443827,8.92283783244003,9.25160803606065,..
British Virgin Islands,VGB,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..
British Virgin Islands,VGB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
British Virgin Islands,VGB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,..,..,..,..
British Virgin Islands,VGB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..,..,..,..
Brunei Darussalam,BRN,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.747727,..,2.46,..,..
Brunei Darussalam,BRN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.76,2.85,..,..,..
Brunei Darussalam,BRN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,7.8,..,..,..,..
Brunei Darussalam,BRN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.30061934254407,4.56778169636231,4.87314756750582,5.20881175208004,..
Bulgaria,BGR,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.351053,..,2.76,..,..
Bulgaria,BGR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.27,7.45,..,..,..
Bulgaria,BGR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,2.2,..,..,..,..
Bulgaria,BGR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,20.4293428662073,20.7576011862959,21.021914434268,21.252967270985,..
Burkina Faso,BFA,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.668512,..,2.43,..,..
Burkina Faso,BFA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Burkina Faso,BFA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,56.3,..,..,..,..
Burkina Faso,BFA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.40973075866777,2.40863004119056,2.40698082866355,2.40728753729201,..
Burundi,BDI,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,1.98495,..,1.95,..,..
Burundi,BDI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Burundi,BDI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,55.8,..,..,..,..
Burundi,BDI,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.13529850080974,2.18676073257099,2.24694046033717,2.31209531524,..
Cabo Verde,CPV,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..
Cabo Verde,CPV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Cabo Verde,CPV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,19.5,..,..,..,..
Cabo Verde,CPV,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.49311488743208,4.5324819813283,4.60932715666821,4.69837344413431,..
Cambodia,KHM,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.362919,..,2.14,..,..
Cambodia,KHM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.9,..,..,..,..
Cambodia,KHM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,25.6,..,..,..,..
Cambodia,KHM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.25764662991146,4.41083740193033,4.56868001756576,4.7177691962329,..
Cameroon,CMR,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.205693,..,2.57,..,..
Cameroon,CMR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Cameroon,CMR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,53.9,..,..,..,..
Cameroon,CMR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.73159303235974,2.73139707758745,2.72887735524057,2.72364990775371,..
Canada,CAN,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,4.141614,..,3.75,..,..
Canada,CAN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.6,2.53,2.55,2.52,..
Canada,CAN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,5.6,..,..,..,..
Canada,CAN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,16.4550097979977,16.8424915594931,17.2320066788651,17.6478968899213,..
Cayman Islands,CYM,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..
Cayman Islands,CYM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Cayman Islands,CYM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,..,..,..,..
Cayman Islands,CYM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,..,..,..,..,..
Central African Republic,CAF,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,1.93,..,..
Central African Republic,CAF,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Central African Republic,CAF,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,63.7,..,..,..,..
Central African Republic,CAF,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.83307395002651,2.83160027702211,2.82577370666008,2.81479015043671,..
Chad,TCD,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.074374,..,2.37,..,..
Chad,TCD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Chad,TCD,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,63.4,..,..,..,..
Chad,TCD,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.4538548489664,2.46671833784574,2.48051894434901,2.4916416230991,..
Channel Islands,CHI,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..
Channel Islands,CHI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Channel Islands,CHI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,..,..,..,..
Channel Islands,CHI,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,16.7190860456618,16.998191681736,17.2974621552033,17.6014025391997,..
Chile,CHL,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.771319,..,3.21,..,..
Chile,CHL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.12,2.11,2.06,..,..
Chile,CHL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,8.1,..,..,..,..
Chile,CHL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,10.8783711500226,11.1918942478844,11.5298016568816,11.8815401277688,..
China,CHN,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,3.752359,..,3.75,..,..
China,CHN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.02,4.31,..,..,..
China,CHN,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,3.8,..,..,..,..
China,CHN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,9.80263113886186,10.3451204570585,10.9208835350654,11.4721930236832,..
Colombia,COL,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.429151,..,2.67,..,..
Colombia,COL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.68,1.7,1.71,..,..
Colombia,COL,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,10.1,..,..,..,..
Colombia,COL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,7.9362882680438,8.19908853104178,8.47804701986958,8.76583000729666,..
Comoros,COM,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.36412,..,2.25,..,..
Comoros,COM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Comoros,COM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,47.4,..,..,..,..
Comoros,COM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.92423754889441,2.96292382773144,3.00700930649436,3.05540342654598,..
"Congo, Dem. Rep.",COD,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.009918,..,2.12,..,..
"Congo, Dem. Rep.",COD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,61.7,..,..,..,..
"Congo, Dem. Rep.",COD,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.02043834043243,3.01976452615423,3.01784062159803,3.01693961741257,..
"Congo, Rep.",COG,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.59596,..,2.07,..,..
"Congo, Rep.",COG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
"Congo, Rep.",COG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,55.5,..,..,..,..
"Congo, Rep.",COG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.60566360623458,2.64316301403234,2.68171953903232,2.7214158960455,..
Costa Rica,CRI,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.317628,..,2.49,..,..
Costa Rica,CRI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.15,1.14,1.11,1.1,..
Costa Rica,CRI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,6.4,..,..,..,..
Costa Rica,CRI,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,8.96546375076668,9.25051020676152,9.54984767296984,9.88043532311942,..
Cote d'Ivoire,CIV,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.463248,..,2.89,..,..
Cote d'Ivoire,CIV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
Cote d'Ivoire,CIV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,52.4,..,..,..,..
Cote d'Ivoire,CIV,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.82034616207037,2.84055591679499,2.85894301500285,2.87311934294126,..
Croatia,HRV,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.989697,..,3.01,..,..
Croatia,HRV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.49,5.54,..,..,..
Croatia,HRV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,2.3,..,..,..,..
Croatia,HRV,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,19.6156823572293,20.0223913942074,20.445433012423,20.8601352345977,..
Cuba,CUB,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,2.3125,..,2.04,..,..
Cuba,CUB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.32,5.33,..,..,..
Cuba,CUB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,8.4,..,..,..,..
Cuba,CUB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,14.3884520159674,14.778079757275,15.1862114171521,15.5649591568629,..
Curacao,CUW,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,..,..,..,..,..
Curacao,CUW,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..
